Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Marcus,Heart of Stone,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:41:03,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3407,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4826,""mediaOffsetMs"":746},{""eventType"":""stopped"",""sessionOffsetMs"":6231,""mediaOffsetMs"":1076}]"
Marcus,Fractured (Trailer),Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:40:13,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2583,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":35385,""mediaOffsetMs"":31282},{""eventType"":""stopped"",""sessionOffsetMs"":35669,""mediaOffsetMs"":32463}]"
Marcus,Fractured,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:40:10,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":121541},{""eventType"":""playing"",""sessionOffsetMs"":2176,""mediaOffsetMs"":121541},{""eventType"":""paused"",""sessionOffsetMs"":3335,""mediaOffsetMs"":121987},{""eventType"":""stopped"",""sessionOffsetMs"":4782,""mediaOffsetMs"":122576}]"
Marcus,Trailer: Hypnotic,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:39:19,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2737,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":36950,""mediaOffsetMs"":33096},{""eventType"":""stopped"",""sessionOffsetMs"":38463,""mediaOffsetMs"":34054}]"
Marcus,Hypnotic,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:39:15,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2472,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4760,""mediaOffsetMs"":1632},{""eventType"":""stopped"",""sessionOffsetMs"":6164,""mediaOffsetMs"":1993}]"
Marcus,The Weekend Away,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:38:34,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5048208},{""eventType"":""playing"",""sessionOffsetMs"":10736,""mediaOffsetMs"":5048208},{""eventType"":""paused"",""sessionOffsetMs"":16838,""mediaOffsetMs"":5053341},{""eventType"":""stopped"",""sessionOffsetMs"":23509,""mediaOffsetMs"":5053341}]"
Marcus,Genre Specific Moment Clip 2: The Monkey King,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:37:02,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2502,""mediaOffsetMs"":0}]"
Marcus,"Manifest: Season 4: ""Final Boarding""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-19 23:43:55,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2472428},{""eventType"":""playing"",""sessionOffsetMs"":4496,""mediaOffsetMs"":2472428},{""eventType"":""paused"",""sessionOffsetMs"":1106722,""mediaOffsetMs"":3572406}]"
Marcus,"Manifest: Season 4: ""Final Boarding""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-19 23:03:24,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":87128},{""eventType"":""playing"",""sessionOffsetMs"":1913,""mediaOffsetMs"":87128},{""eventType"":""paused"",""sessionOffsetMs"":2389456,""mediaOffsetMs"":2473924},{""eventType"":""playing"",""sessionOffsetMs"":2394276,""mediaOffsetMs"":2473924},{""eventType"":""paused"",""sessionOffsetMs"":2400206,""mediaOffsetMs"":2478624},{""eventType"":""stopped"",""sessionOffsetMs"":2408391,""mediaOffsetMs"":2481404}]"
Marcus,"Manifest: Season 4: ""Formation""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-19 22:22:19,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":763429},{""eventType"":""playing"",""sessionOffsetMs"":3274,""mediaOffsetMs"":763429},{""eventType"":""paused"",""sessionOffsetMs"":519999,""mediaOffsetMs"":1279370},{""eventType"":""playing"",""sessionOffsetMs"":656218,""mediaOffsetMs"":1279370},{""eventType"":""paused"",""sessionOffsetMs"":861587,""mediaOffsetMs"":1484680},{""eventType"":""playing"",""sessionOffsetMs"":993728,""mediaOffsetMs"":1484680},{""eventType"":""paused"",""sessionOffsetMs"":1749283,""mediaOffsetMs"":2239791},{""eventType"":""playing"",""sessionOffsetMs"":1930700,""mediaOffsetMs"":2239791},{""eventType"":""paused"",""sessionOffsetMs"":2464668,""mediaOffsetMs"":2774070},{""eventType"":""stopped"",""sessionOffsetMs"":2465081,""mediaOffsetMs"":2774647}]"
