Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Фйж,GB,Streaming Stick,0,ave,,select,suggestion_results,2021-06-12 13:10:34
Фйж,GB,Streaming Stick,0,spider,,select,suggestion_results,2021-06-12 07:25:02
Фйж,GB,Streaming Stick,0,lega,Clueless,select,,2021-06-06 11:53:28
Фйж,GB,Streaming Stick,0,lega,Legally Blonde,select,,2021-06-06 11:53:11
Фйж,GB,Streaming Stick,0,lega,Legally Blonde,select,,2021-06-06 11:52:55
Фйж,GB,Streaming Stick,0,inte,,play,,2021-06-05 10:34:37
Фйж,GB,Streaming Stick,0,inte,,play,,2021-06-05 10:34:11
Фйж,GB,Streaming Stick,0,inte,,select,,2021-06-05 10:34:04
Фйж,GB,Streaming Stick,0,inte,,play,,2021-06-05 10:33:31
Фйж,GB,Streaming Stick,0,inte,,select,,2021-06-05 10:33:23
Фйж,GB,Streaming Stick,0,inte,,play,,2021-06-05 10:32:35
Фйж,GB,Streaming Stick,0,inte,,select,,2021-06-05 10:32:23
Фйж,GB,Streaming Stick,0,inte,,select,,2021-06-05 10:32:07
Фйж,GB,Streaming Stick,0,n,Naruto Shippuden the Movie: Blood Prison,select,,2021-06-04 15:28:25
Фйж,GB,Streaming Stick,0,nailed,,play,,2021-06-04 15:22:53
Фйж,GB,Streaming Stick,0,nailed,,select,,2021-06-04 15:22:49
Фйж,GB,Streaming Stick,0,nailed,,play,,2021-06-04 15:21:05
Фйж,GB,Streaming Stick,0,nailed,,select,,2021-06-04 15:20:54
Фйж,GB,Streaming Stick,0,nailed,,play,,2021-06-04 13:05:22
Фйж,GB,Streaming Stick,0,nailed,,select,,2021-06-04 13:05:12
Фйж,GB,Streaming Stick,0,sin,,play,,2021-06-04 12:29:45
Фйж,GB,Streaming Stick,0,sin,,select,,2021-06-04 12:29:40
Фйж,GB,Streaming Stick,0,,,select,,2021-05-26 12:54:06
Фйж,GB,Streaming Stick,0,,,select,,2021-05-26 12:54:00
Фйж,GB,Streaming Stick,0,,,play,,2021-05-26 09:53:54
Фйж,GB,Streaming Stick,0,,,select,,2021-05-26 09:53:41
Фйж,GB,Streaming Stick,0,,,select,,2021-05-26 09:53:02
Фйж,GB,Streaming Stick,0,di,,play,,2021-05-14 07:07:31
Фйж,GB,Streaming Stick,0,di,,select,,2021-05-14 07:07:09
Фйж,GB,Streaming Stick,0,school,School of Rock,play,,2021-05-09 12:30:39
Фйж,GB,Streaming Stick,0,school,School of Rock,select,,2021-05-09 12:30:34
Фйж,GB,Streaming Stick,0,school,,select,,2021-05-09 12:30:28
Фйж,GB,Streaming Stick,0,thu,Thunder Force,play,,2021-04-23 18:03:09
Фйж,GB,Streaming Stick,0,thu,Thunder Force,select,,2021-04-23 18:03:02
Фйж,GB,Streaming Stick,0,spiri,,play,,2021-04-04 19:11:10
Фйж,GB,Streaming Stick,0,spiri,,select,,2021-04-04 19:10:57
Фйж,GB,Streaming Stick,0,spiri,,select,,2021-04-04 19:10:51
Фйж,GB,Streaming Stick,0,bratz,Bratz: Babyz: The Movie,select,,2021-04-04 19:07:47
Фйж,GB,Streaming Stick,0,bratz,Mean Girls,select,,2021-04-04 19:06:53
Фйж,GB,Streaming Stick,0,m,,play,,2021-04-02 20:16:15
Фйж,GB,Streaming Stick,0,m,,play,,2021-04-02 20:15:33
Фйж,GB,Streaming Stick,0,m,,select,,2021-04-02 20:15:32
Фйж,GB,Streaming Stick,0,m,,play,,2021-04-02 20:10:16
Фйж,GB,Streaming Stick,0,m,,select,,2021-04-02 20:09:35
Фйж,GB,Streaming Stick,0,ba,,play,,2021-03-19 08:01:46
Фйж,GB,Streaming Stick,0,ba,,select,,2021-03-19 08:01:41
Фйж,GB,Streaming Stick,0,ba,Barbie: A Mermaid Tale 2,select,,2021-03-19 08:01:32
Фйж,GB,Streaming Stick,0,ba,,select,,2021-03-19 08:00:12
Фйж,GB,Streaming Stick,0,b,,select,,2021-02-14 08:54:57
Фйж,GB,Streaming Stick,0,ac,,select,,2021-01-30 10:43:56
Фйж,GB,Streaming Stick,0,powe,,play,,2021-01-04 09:43:53
Фйж,GB,Streaming Stick,0,powe,,select,,2021-01-04 09:43:50
Фйж,GB,Streaming Stick,0,powe,,select,,2021-01-04 09:43:29
Фйж,GB,Streaming Stick,0,po,,select,,2021-01-04 09:43:08
Фйж,GB,Streaming Stick,0,sup,,select,,2021-01-04 09:42:50
Фйж,GB,Streaming Stick,0,s,,select,,2021-01-04 09:41:52
Фйж,GB,Streaming Stick,0,julie and the phan,,select,,2020-11-04 17:33:47
Фйж,GB,Streaming Stick,0,bey,,play,,2020-09-18 18:20:27
Фйж,GB,Streaming Stick,0,bey,,select,,2020-09-18 18:20:20
Фйж,GB,Streaming Stick,0,bey,,select,,2020-09-18 18:20:18
Фйж,GB,Streaming Stick,0,pe,Percy Jackson & the Olympians: The Lightning Thief,select,,2020-09-14 07:14:36
Фйж,GB,Streaming Stick,0,twe,,play,,2020-08-19 09:01:50
Фйж,GB,Streaming Stick,0,twe,,select,,2020-08-19 09:01:46
Фйж,GB,Streaming Stick,0,,,play,,2020-08-15 07:37:42
Фйж,GB,Streaming Stick,0,,,select,,2020-08-15 07:37:38
Фйж,GB,Streaming Stick,0,,,select,,2020-08-15 07:37:22
Фйж,GB,Streaming Stick,0,tom,,play,,2020-08-11 15:48:57
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:48:47
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:48:40
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:48:38
Фйж,GB,Streaming Stick,0,tom,,play,,2020-08-11 15:44:44
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:44:39
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:44:38
Фйж,GB,Streaming Stick,0,tom,,play,,2020-08-11 15:37:13
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:37:08
Фйж,GB,Streaming Stick,0,tom,Tom and Jerry: The Movie,select,,2020-08-11 15:37:08
Фйж,GB,Streaming Stick,0,tom,,select,,2020-08-11 15:36:49
Фйж,GB,Streaming Stick,0,sc,Scooby-Doo,select,,2020-08-11 15:36:01
Фйж,GB,Streaming Stick,0,th,,play,,2020-08-10 17:11:20
Фйж,GB,Streaming Stick,0,th,,select,,2020-08-10 17:11:15
Фйж,GB,Streaming Stick,0,m,Minions,select,,2020-08-01 17:50:48
Фйж,GB,Streaming Stick,0,m,,select,,2020-08-01 17:50:04
Фйж,GB,Streaming Stick,0,bruno,,play,,2020-07-30 18:04:59
Фйж,GB,Streaming Stick,0,bruno,,select,,2020-07-30 18:04:54
Фйж,GB,Streaming Stick,0,bruno,,select,,2020-07-30 18:04:53
Фйж,GB,Streaming Stick,0,bruno,Bruno and Boots: Go Jump in the Pool,play,,2020-07-29 16:20:25
Фйж,GB,Streaming Stick,0,bruno,Bruno and Boots: Go Jump in the Pool,select,,2020-07-29 16:20:21
Фйж,GB,Streaming Stick,0,oolie,,play,,2020-07-19 09:36:26
Фйж,GB,Streaming Stick,0,oolie,,play,,2020-07-19 09:35:35
Фйж,GB,Streaming Stick,0,oolie,,play,,2020-07-19 09:35:22
Фйж,GB,Streaming Stick,0,oolie,,select,,2020-07-19 09:35:10
Фйж,GB,Streaming Stick,0,f,,play,,2020-07-18 07:41:50
Фйж,GB,Streaming Stick,0,f,,select,,2020-07-18 07:41:42
Фйж,GB,Streaming Stick,0,got talent,,play,,2020-07-09 11:24:28
Фйж,GB,Streaming Stick,0,got talent,,select,,2020-07-09 11:24:23
Фйж,GB,Streaming Stick,0,the baby,,play,,2020-07-03 15:26:00
Фйж,GB,Streaming Stick,0,the baby,,select,,2020-07-03 15:25:55
Фйж,GB,Streaming Stick,0,babb,,select,,2020-07-03 15:22:01
Фйж,GB,Streaming Stick,0,dog,White Fang,play,,2020-06-28 14:01:11
Фйж,GB,Streaming Stick,0,dog,White Fang,select,,2020-06-28 14:01:07
Фйж,GB,Streaming Stick,0,dog,White Fang,play,,2020-06-28 13:59:17
Фйж,GB,Streaming Stick,0,dog,White Fang,select,,2020-06-28 13:59:13
Фйж,GB,Streaming Stick,0,,,select,,2020-06-28 13:54:23
Фйж,GB,Streaming Stick,0,do,Dolphin Kick,play,,2020-06-27 08:07:48
Фйж,GB,Streaming Stick,0,do,Dolphin Kick,select,,2020-06-27 08:07:44
Фйж,GB,Streaming Stick,0,do,Show Dogs,play,,2020-06-27 08:04:20
Фйж,GB,Streaming Stick,0,do,Show Dogs,select,,2020-06-27 08:04:18
Фйж,GB,Streaming Stick,0,do,Show Dogs,play,,2020-06-27 08:04:11
Фйж,GB,Streaming Stick,0,do,Show Dogs,select,,2020-06-27 08:04:06
Фйж,GB,Streaming Stick,0,cin,Tall Girl,play,,2020-06-26 16:50:59
Фйж,GB,Streaming Stick,0,cin,Tall Girl,select,,2020-06-26 16:50:56
Фйж,GB,Streaming Stick,0,cin,Tall Girl,play,,2020-06-26 15:54:57
Фйж,GB,Streaming Stick,0,cin,Tall Girl,select,,2020-06-26 15:54:53
Фйж,GB,Streaming Stick,0,cin,Cinderella,select,,2020-06-26 15:54:31
Фйж,GB,Streaming Stick,0,dance,Dance Academy: The Comeback,play,,2020-06-26 15:49:32
Фйж,GB,Streaming Stick,0,dance,Dance Academy: The Comeback,select,,2020-06-26 15:49:27
Фйж,GB,Streaming Stick,0,dance,,select,,2020-06-26 15:49:26
Фйж,GB,Streaming Stick,0,dance,You Can Tutu,select,,2020-06-26 15:48:58
Фйж,GB,Streaming Stick,0,dance,,select,,2020-06-26 15:48:55
Фйж,GB,Streaming Stick,0,the,,play,,2020-06-25 16:20:46
Фйж,GB,Streaming Stick,0,the,,select,,2020-06-25 16:20:39
Фйж,GB,Streaming Stick,0,the,,play,,2020-06-25 16:20:06
Фйж,GB,Streaming Stick,0,the,,select,,2020-06-25 16:19:59
Фйж,GB,Streaming Stick,0,the n,,play,,2020-06-22 16:07:05
Фйж,GB,Streaming Stick,0,the n,,select,,2020-06-22 16:07:00
Фйж,GB,Streaming Stick,0,ki,,play,,2020-06-20 17:33:58
Фйж,GB,Streaming Stick,0,ki,,play,,2020-06-20 17:33:46
Фйж,GB,Streaming Stick,0,ki,,select,,2020-06-20 17:33:42
Фйж,GB,Streaming Stick,0,ki,KIDS,select,,2020-06-20 17:33:33
Фйж,GB,Streaming Stick,0,grizzy,,play,,2020-06-20 17:17:58
Фйж,GB,Streaming Stick,0,grizzy,,select,,2020-06-20 17:17:54
Фйж,GB,Streaming Stick,0,grizzy,,play,,2020-06-20 17:04:24
Фйж,GB,Streaming Stick,0,grizzy,,select,,2020-06-20 17:04:20
Фйж,GB,Streaming Stick,0,,A Cinderella Story,play,,2020-06-11 16:22:40
Фйж,GB,Streaming Stick,0,,A Cinderella Story,select,,2020-06-11 16:22:33
Фйж,GB,Streaming Stick,0,,,select,,2020-06-11 16:22:17
