Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Marcus,NFUWA-001-C51B0FA5B8BFAD6BC5CFF815CB8281016478B8832A3A23914F1B070CE2B6EF6E,Netflix Windows App - Cadmium Windows Mobile,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,1970-01-01T00:00:00.000Z
Marcus,WWW-BROWSE-K6ZZGM70MADPRUFKE6J0JPUH9NEG5K,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,2023-05-26T00:34:21.241Z
Marcus,NFCDSF-PH-K6ZZGPHEYDNFJDM53W1T5ALNYNMXKG,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFANDROID1-PRV-P-L3-SAMSUSM-M336BU-22594-56A62B848F6074CC059F7A652AF9BA3AAC99E86CB4632198CF9F42434FAA8184,Android DefaultWidevineL3Phone Android Phone,2023-04-21T15:03:43.431Z,2023-04-21T15:04:10.916Z,2023-04-21T15:03:43.431Z,2023-04-21T15:04:10.916Z,2023-04-21T15:03:43.431Z,2023-04-21T15:04:10.916Z,2023-04-21T15:03:43.431Z,2023-04-21T15:04:10.916Z,2023-04-20T20:41:50.651Z
Marcus,NFAPPL-01-IPAD7=11-2EC2F6EB42FC6D0958C7ADD934CB636E1B31B6951CEAB8ED3F4C3B89EB2077A1,Apple iPad 10.2 inch 7th Gen Wi-Fi iPad,2023-02-13T16:36:50.816Z,2023-04-23T01:44:51.595Z,2023-02-13T16:36:50.816Z,2023-04-23T01:44:51.595Z,2023-02-13T16:36:50.816Z,2023-04-23T01:44:51.595Z,2023-02-13T16:36:50.816Z,2023-04-23T01:44:51.595Z,1970-01-01T00:00:00.000Z
Marcus,NFANDROID1-PRV-P-SAMSUSM-M336BU-25366-764E43725A1FA318E04FECF7EB0FF5FC2A27B3D83ADC5B4963FD5E959DE6992E,DefaultWidevineAndroidPhone,2023-04-14T15:14:59.681Z,2023-04-19T22:05:57.310Z,2023-04-14T15:14:59.681Z,2023-04-19T22:05:57.310Z,2023-04-14T15:14:59.681Z,2023-04-19T22:05:57.310Z,2023-04-14T15:14:59.681Z,2023-04-19T22:05:57.310Z,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-PH-K2RAM7FNAXA7K1CCDCP7CCMMC6JJ9M,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-PH-K2RAKAGJG8E6VADM9HVFVNL0T5116V,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFAPPL-02-IPHONE9=1-CBSTG2FPZFFFR2MANXJO7LRIVMHQL6AQTBHHK7YWGTKUAT2KGZBA,Apple iPhone 7 (CDMA),,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFAPPL-01-IPAD7=11-FCE531E978475FDEEEDCFA1ED2E4A8367317EA74035030F2AADF1B0E542F37EC,Apple iPad 10.2 inch 7th Gen Wi-Fi iPad,2022-01-09T16:18:22.603Z,2022-11-07T21:13:42.771Z,2022-01-09T16:18:22.603Z,2022-11-07T21:13:42.771Z,2022-01-09T16:18:22.603Z,2022-11-07T21:13:42.771Z,2022-01-09T16:18:22.603Z,2022-11-07T21:13:42.771Z,1970-01-01T00:00:00.000Z
Marcus,NFCDCH-02-J12LW0ET8C91HMX1LTE4CVH10QPL0E,Chrome PC (Cadmium),2022-03-02T16:25:13.327Z,2022-05-15T08:46:37.612Z,2022-03-02T16:25:13.327Z,2022-05-15T08:46:37.612Z,2022-03-02T16:25:13.327Z,2022-05-15T08:46:37.612Z,2022-03-02T16:25:13.327Z,2022-05-15T08:46:37.612Z,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-01-JJJR5VNRF3707V3G877NF2LXL0RKR2,Safari MAC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDCH-LX-J84HU5Q263DTE8QA3M0FRQN29W1H42,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDCH-AP-J84HNVJQ2F8U63GC9K2TQFAPV4GH86,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDOT-AP-J84H4VY79C0PVQYNCTK6AMP32LYFEV,Netflix Android Phone Other HTML 5,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,AMZNST2014-00019-00141814,FireTV Stick 2014,2017-12-07T18:09:48.209Z,2022-05-09T18:49:57.764Z,2021-07-03T14:43:09.916Z,2022-05-09T18:49:57.764Z,2017-12-07T18:09:48.209Z,2022-05-09T18:49:57.764Z,2021-07-03T14:43:09.916Z,2022-05-09T18:49:57.764Z,1970-01-01T00:00:00.000Z
Marcus,NFCDCH-02-J11L20R76LUW8G2AW9N048F16G3TQ4,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDIE-03-J1036G2V4AA0GUMN0YF5MVLQ7GVQDN,Edge OSS - Windows (Cadmium),2022-02-18T21:18:40.916Z,2022-02-18T22:53:21.347Z,2022-02-18T21:18:40.916Z,2022-02-18T22:53:21.347Z,2022-02-18T21:18:40.916Z,2022-02-18T22:53:21.347Z,2022-02-18T21:18:40.916Z,2022-02-18T22:53:21.347Z,1970-01-01T00:00:00.000Z
Marcus,NFCDIE-03-HULYRGJ1EQKK3PYKE20UQY78UML0PX,Edge OSS - Windows (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
Emily,NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon Fire TV Stick 2020 + Streaming Stick,2022-05-10T20:52:47.984Z,2023-08-26T22:51:31.862Z,2022-05-10T20:52:47.984Z,2023-08-26T22:36:50.326Z,2022-06-10T12:49:05.382Z,2023-08-26T22:51:31.862Z,2022-06-10T12:49:05.382Z,2023-08-26T22:36:50.326Z,
Фйж,NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon Fire TV Stick 2020 + Streaming Stick,2022-05-10T20:52:47.984Z,2023-08-26T22:51:31.862Z,2022-05-10T20:52:47.984Z,2023-08-26T22:36:50.326Z,2022-05-11T15:43:27.264Z,2023-08-26T15:14:59.064Z,2022-05-11T15:43:27.264Z,2023-08-26T15:14:59.064Z,
Фйж,NFUWA-001-EC8DB1CC689FD43AE81C33948A57C9D338696621EAF67F67A03CC2E7A6F6207D,Netflix Windows App - Cadmium Windows Mobile,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,
Фйж,NFAPPL-01-IPAD7=11-DFA9936C743B3AB3EE31969F9B578344D4A265B1DE00BF8F84747DB61659B7D5,Apple iPad 10.2 inch 7th Gen Wi-Fi iPad,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,
Emily,NFAPPL-01-IPAD12=1-9F9A04E9BE4CAEEE30AE0C870C6BD33D43E6FB0ADA5C9790452D861A1AEDA656,Apple iPad 10.2 inch 9th Gen Wi-Fi,2023-05-29T22:49:36.553Z,2023-08-14T16:05:03.192Z,2023-05-29T22:49:36.553Z,2023-08-14T16:05:03.192Z,2023-08-04T21:27:46.252Z,2023-08-14T16:05:03.192Z,2023-08-04T21:27:46.252Z,2023-08-14T16:05:03.192Z,
Фйж,AMZNST2014-00036-00104982,FireTV Stick 2014,2021-10-28T18:41:44.984Z,2023-08-26T22:19:19.476Z,2021-10-28T18:42:27.366Z,2023-08-26T22:19:19.476Z,2021-10-28T18:41:44.984Z,2023-08-13T09:07:53.096Z,2021-10-28T18:42:27.366Z,2023-08-13T09:07:53.096Z,
Emily,NFUWA-001-C51B0FA5B8BFAD6BC5CFF815CB8281016478B8832A3A23914F1B070CE2B6EF6E,Netflix Windows App - Cadmium Windows Mobile,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,2022-09-02T15:29:40.344Z,2023-08-05T15:47:57.923Z,
